target_id	tau	highest	order
lcl|NC_091874.1_ncrna_XR_011546368.1_13217	0.780479991280472	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546369.1_13221	0.604256946098916	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546370.1_13220	0.642974930244491	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546371.1_13219	0.0351869671081632	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546376.1_13462	0.740923460935737	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546377.1_13461	0.871672072703802	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546379.1_12862	0.893127490182601	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546380.1_12884	0.479889823214743	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546381.1_13480	0.565415868568877	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546382.1_13338	0.263228007672263	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546383.1_13337	0.0930897274843037	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546384.1_13345	0.514599312698068	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546385.1_13346	0.0811104321883349	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546386.1_13516	0.370388431517764	whole body	whole body|whole body sample
lcl|NC_091874.1_ncrna_XR_011546388.1_13197	1	whole body	whole body
lcl|NC_091874.1_ncrna_XR_011546389.1_13195	0.907682596283221	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546390.1_13198	1	whole body	whole body
lcl|NC_091874.1_ncrna_XR_011546391.1_13201	0.552733166433283	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546392.1_13202	1	whole body	whole body
lcl|NC_091874.1_ncrna_XR_011546393.1_13200	0.886206049780194	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546394.1_13196	0.261846067475519	whole body sample	whole body sample|whole body
lcl|NC_091874.1_ncrna_XR_011546395.1_13191	0.00683905146024766	whole body sample	whole body sample|whole body
